,2022,2021,2020,2019,2018,2017,2016,2015,2014,2013
北京市,113.1,113.4,110.7,116.9,122.6,124.3,132.2,142.8,161.5,162.0
天津市,283.4,275.9,218.3,191.8,181.0,174.0,174.6,167.3,163.1,158.5
河北省,4697.4,4286.2,4113.2,3727.5,3522.3,3298.3,3235.1,3240.3,3294.3,3260.8
山西省,1415.4,1356.9,1232.0,875.5,788.4,764.1,766.8,767.1,775.9,733.1
内蒙古自治区,2710.0,2387.5,2060.0,1893.5,1779.8,1677.7,1677.0,1655.3,1661.9,1605.3
辽宁省,2685.8,2546.9,2370.3,2266.9,2109.6,2000.4,1945.8,2158.0,2104.8,2067.4
吉林省,1742.3,1604.2,1600.6,1333.4,1205.0,1137.7,1171.1,1309.1,1308.2,1286.6
黑龙江省,3710.9,3556.9,3534.6,3268.2,3080.2,3036.9,2817.7,2770.7,2742.6,2584.8
上海市,104.9,105.7,116.7,113.3,112.4,115.1,118.3,129.7,136.3,136.0
江苏省,5369.5,5073.7,4868.5,4611.9,4431.4,4314.5,4286.1,4175.9,3808.2,3623.7
浙江省,2397.0,2277.0,2221.4,2135.9,2019.3,1972.8,1925.5,1803.8,1756.0,1745.7
安徽省,3722.3,3548.7,3353.7,3069.2,2776.0,2707.3,2603.8,2467.3,2380.3,2250.3
福建省,3191.9,3007.2,2831.8,2691.1,2464.3,2294.4,2221.0,2003.2,1920.7,1805.2
江西省,2577.8,2438.0,2328.1,2135.8,1947.9,1898.5,1851.9,1773.9,1682.3,1591.7
山东省,6769.0,6449.5,5750.1,5477.1,5273.9,5114.7,5072.3,5110.8,4857.3,4630.8
河南省,6169.8,5915.4,5600.5,4860.7,4501.2,4310.6,4217.4,4154.4,4089.9,3913.5
湖北省,5321.9,4923.4,4359.0,4014.3,3734.3,3690.3,3527.9,3210.9,3080.6,2951.6
湖南省,4873.4,4561.5,4462.0,3850.5,3266.5,3165.3,3063.1,2878.9,2793.1,2702.1
广东省,5531.6,5151.3,4880.8,4478.3,3948.9,3712.7,3593.6,3275.1,3118.4,2950.0
广西壮族自治区,4404.2,4174.0,3757.3,3493.9,3116.4,2964.7,2877.0,2633.0,2473.9,2343.6
海南省,1471.4,1300.7,1178.4,1118.0,1020.2,993.3,951.6,859.3,814.7,742.7
重庆市,2058.6,1963.3,1837.0,1581.3,1405.4,1300.3,1258.4,1086.2,1006.4,955.3
四川省,6133.1,5818.1,5701.2,4938.0,4544.3,4365.3,3991.9,3745.5,3598.7,3323.6
贵州省,3020.4,2877.7,2675.6,2408.0,2273.0,2140.0,1959.9,1714.0,1317.2,1032.6
云南省,4090.1,3902.5,3674.5,3096.2,2552.6,2388.6,2272.6,2121.8,2045.4,1912.8
西藏自治区,185.0,168.5,154.4,142.1,132.2,121.5,113.6,96.2,90.4,83.4
陕西省,2710.6,2532.5,2381.8,2098.2,1927.8,1830.6,1778.9,1675.6,1637.8,1528.6
甘肃省,1561.3,1406.8,1227.3,1097.2,962.3,896.0,834.5,780.7,739.7,698.3
青海省,385.0,358.2,342.3,306.0,272.0,242.0,224.7,212.2,219.0,207.6
宁夏回族自治区,428.5,383.7,356.3,297.7,296.1,266.3,255.7,250.7,229.6,222.2
新疆维吾尔自治区,2654.6,2488.4,2098.2,1888.4,1791.0,1640.3,1554.0,1479.8,1466.6,1378.8
